project_name,lang,build_command,github_url,clean_rep1,clean_rep2,clean_rep3,clean_rep4,clean_rep5,clean_rep6,clean_rep7,clean_rep8,clean_median,ebpf_rep1,ebpf_rep2,ebpf_rep3,ebpf_rep4,ebpf_rep5,ebpf_rep6,ebpf_rep7,ebpf_rep8,ebpf_median,ratio,delta_sec
cubefs,go,make all,https://github.com/cubeFS/cubefs,211.200,210.646,209.892,208.161,210.508,208.029,209.741,208.387,209.817,219.060,220.849,218.463,219.151,216.231,216.179,216.055,216.808,217.635,1.0373,7.819
Dex,go,make build,https://github.com/dexidp/dex,51.070,50.617,51.366,50.662,51.320,51.082,51.451,51.096,51.089,53.163,52.936,52.854,53.062,53.275,53.576,53.320,53.638,53.219,1.0417,2.130
Distribution,go,make binaries,https://github.com/distribution/distribution,26.511,26.116,25.970,26.068,26.152,26.087,25.709,26.025,26.078,28.039,29.103,28.215,29.894,28.816,29.684,29.297,29.629,29.200,1.1197,3.123
dragonfly,go,make build-manager-server,https://github.com/dragonflyoss/dragonfly,41.185,41.116,40.838,41.143,40.514,40.391,40.750,41.089,40.963,44.667,44.078,43.979,44.156,43.964,44.220,43.945,44.931,44.117,1.0770,3.154
Easegress,go,make build,https://github.com/easegress-io/easegress,65.503,64.927,65.171,65.083,64.371,65.419,64.779,65.259,65.127,71.536,71.604,71.814,72.394,71.380,71.564,71.475,72.122,71.584,1.0991,6.457
emissary,go,go build -o ./bin/ ./cmd/...,https://github.com/emissary-ingress/emissary,41.449,41.326,41.110,40.868,40.791,40.520,41.190,40.936,41.023,44.842,45.282,45.099,44.619,44.677,45.829,44.818,45.550,44.971,1.0962,3.948
Eraser,go,make build,https://github.com/eraser-dev/eraser,54.311,51.581,53.633,50.634,53.126,50.726,53.453,51.622,52.374,54.632,57.210,54.659,56.486,55.231,56.183,54.475,56.944,55.707,1.0636,3.333
external-secrets,go,make build-amd64,https://github.com/external-secrets/external-secrets,111.768,107.209,109.697,107.825,111.445,107.351,108.224,107.002,108.025,121.107,118.978,116.407,119.846,123.103,119.862,118.304,119.167,119.507,1.1063,11.482
Fluid,go,make build,https://github.com/fluid-cloudnative/fluid,388.417,381.141,382.703,379.501,385.130,375.864,379.274,379.404,380.321,372.892,375.941,373.726,376.709,372.952,374.152,368.789,378.172,373.939,0.9832,-6.382
flux2,go,make build,https://github.com/fluxcd/flux2,51.997,50.130,51.461,49.971,51.514,49.413,51.019,50.439,50.729,55.496,54.685,53.207,54.509,53.070,54.462,54.371,54.297,54.416,1.0727,3.688
HAMi,go,make build,https://github.com/Project-HAMi/HAMi,53.316,51.789,51.938,51.536,51.970,51.986,51.212,51.394,51.864,54.790,55.397,54.986,54.844,55.402,55.657,55.243,55.255,55.249,1.0653,3.386
Headlamp,go,make backend,https://github.com/kubernetes-sigs/headlamp,44.736,43.591,43.878,44.192,44.098,43.792,44.103,44.085,44.091,49.328,49.568,49.302,50.171,50.212,48.954,50.140,49.178,49.448,1.1215,5.357
Higress,go,make build,https://github.com/higress-group/higress,98.282,87.857,91.926,87.497,98.087,88.656,88.828,88.355,88.742,109.799,108.186,103.479,108.954,107.075,114.468,102.499,105.748,107.631,1.2128,18.889
HwameiStor,go,make compile,https://github.com/hwameistor/hwameistor,291.000,284.521,284.381,284.726,284.623,282.107,282.674,287.620,284.572,296.728,295.545,293.440,295.544,293.103,295.687,293.774,302.206,295.544,1.0386,10.972
in-toto,python,python -m build,https://github.com/in-toto/in-toto,9.821,9.774,9.657,9.742,9.744,9.695,9.699,9.653,9.721,10.856,10.975,10.795,10.986,10.779,10.814,10.760,10.745,10.805,1.1115,1.084
Inspektor Gadget,go,make ig,https://github.com/inspektor-gadget/inspektor-gadget,44.659,44.149,44.001,43.678,44.174,44.284,44.168,43.790,44.159,48.050,49.577,48.432,47.992,48.872,48.112,48.374,48.437,48.403,1.0961,4.245
Interlink,go,make all,https://github.com/interlink-hq/interLink,41.653,41.404,41.860,42.556,41.694,41.573,41.262,41.904,41.674,44.996,43.891,43.747,49.004,43.462,44.581,43.749,44.131,44.011,1.0561,2.337
Jaeger,go,make build-binaries,https://github.com/jaegertracing/jaeger,137.404,136.329,137.320,135.745,135.438,134.734,136.427,133.695,136.037,147.604,148.154,146.908,148.705,147.408,146.373,146.734,148.009,147.506,1.0843,11.469
k8gb,go,make k8gb,https://github.com/k8gb-io/k8gb,78.305,64.676,66.043,65.604,64.725,64.810,64.957,64.768,64.883,70.139,69.971,71.028,70.044,69.538,70.572,69.480,70.314,70.091,1.0803,5.208
K8sGPT,go,make build,https://github.com/k8sgpt-ai/k8sgpt,60.743,61.699,60.477,60.630,61.017,60.316,60.537,60.597,60.614,67.447,67.618,66.601,67.105,67.583,67.459,67.135,67.023,67.291,1.1102,6.677
K8up,go,make build,https://github.com/k8up-io/k8up,78.468,75.406,76.468,75.755,75.527,74.959,75.304,74.887,75.466,80.024,79.720,79.986,79.802,88.375,79.720,80.205,79.029,79.894,1.0587,4.428
Kaito,go,make build-workspace,https://github.com/kaito-project/kaito,65.463,63.821,64.401,64.214,63.874,63.836,64.256,63.923,64.069,71.530,71.826,71.129,72.018,71.775,72.166,72.248,71.822,71.824,1.1211,7.755
kanister,go,DOCKER_BUILD=false /usr/bin/make build BIN=controller ARCH=amd64 && DOCKER_BUILD=false /usr/bin/make build BIN=kanctl ARCH=amd64 && DOCKER_BUILD=false /usr/bin/make build BIN=kando ARCH=amd64,https://github.com/kanisterio/kanister,104.048,103.613,103.119,102.934,102.837,103.034,102.945,102.441,102.989,109.599,109.460,108.413,109.726,108.261,108.509,108.162,108.942,108.725,1.0557,5.736
Karmada,go,make all,https://github.com/karmada-io/karmada,125.751,123.308,124.998,124.634,125.606,122.254,122.350,124.396,124.515,129.907,130.053,130.223,135.465,131.461,129.513,132.607,131.386,130.805,1.0505,6.290
kcl,rust,make build,https://github.com/kcl-lang/kcl,288.425,287.953,285.399,284.209,285.812,285.321,285.069,286.569,285.606,301.557,303.985,301.820,302.419,302.374,300.423,300.880,304.254,302.097,1.0577,16.491
kcp,go,make build,https://github.com/kcp-dev/kcp,127.574,123.357,125.464,125.384,125.119,124.057,124.540,123.151,124.829,136.020,138.322,137.894,138.846,137.696,138.109,136.619,136.988,137.795,1.1039,12.966
Keda,go,make build,https://github.com/kedacore/keda,203.258,200.249,203.543,199.963,199.245,199.659,201.604,200.330,200.290,218.814,216.326,215.490,219.347,216.707,215.841,217.095,216.176,216.517,1.0810,16.227
kepler,go,make build,https://github.com/sustainable-computing-io/kepler,40.086,39.565,39.427,38.802,39.590,39.437,39.192,39.447,39.442,41.788,41.754,41.702,41.594,41.424,41.590,41.472,41.899,41.648,1.0559,2.206
keylime,python,python3 -m build --sdist --wheel --outdir dist/ .,https://github.com/keylime/keylime,11.320,11.373,11.109,11.124,11.303,11.184,11.274,11.187,11.230,12.536,12.718,12.746,12.716,12.676,12.555,12.630,12.675,12.675,1.1287,1.445
Kgateway,go,/usr/bin/make kgateway && /usr/bin/make sds && /usr/bin/make envoyinit,https://github.com/kgateway-dev/kgateway,91.262,88.501,90.305,89.516,92.585,89.660,88.633,89.844,89.752,100.231,94.884,93.920,96.235,98.817,97.472,97.008,97.146,97.077,1.0816,7.325
ko,go,go build -o ko .,https://github.com/ko-build/ko,27.522,27.317,27.651,26.949,27.341,27.450,27.193,28.209,27.395,31.642,30.888,30.519,31.025,30.979,31.049,30.610,30.857,30.934,1.1291,3.538
koordinator,go,make build,https://github.com/koordinator-sh/koordinator,214.301,119.766,120.890,119.517,121.607,117.718,120.899,120.649,120.769,187.108,127.084,127.818,128.169,131.740,126.771,126.460,128.147,127.982,1.0597,7.213
kpt,go,make build,https://github.com/kptdev/kpt,46.263,46.772,46.005,46.070,46.285,46.007,46.585,45.920,46.166,48.890,49.541,49.016,50.774,49.761,49.665,49.667,49.930,49.666,1.0758,3.499
KServe,go,make manager,https://github.com/kserve/kserve,251.975,244.204,249.150,244.274,256.091,243.590,247.619,245.614,246.617,265.345,273.680,266.233,270.222,267.708,268.209,265.872,264.404,266.971,1.0825,20.354
kuadrant,go,make build,https://github.com/kuadrant/kuadrant-operator,73.291,72.431,73.274,72.725,73.107,72.527,72.460,72.120,72.626,80.510,79.794,80.305,79.159,80.290,80.079,80.407,79.609,80.184,1.1041,7.558
